"last_name","first_name","hire_date"
"Cusworth","Eran","1986-11-14"
"Zallocco","Bojan","1986-10-14"
"Demizu","Nevio","1986-05-18"
"Vecchi","Ziva","1986-07-03"
"Speek","Mohit","1986-01-14"
"Speer","Qunsheng","1986-02-13"
"Encarnacion","Dines","1986-08-02"
"Swick","Harngdar","1986-05-28"
"Uhrig","Freyja","1986-12-20"
"Milicic","Zhenhua","1986-08-04"
"Schmezko","Bowen","1986-05-30"
"Munke","Reuven","1986-04-13"
"Domenig","Stabislas","1986-08-04"
"Jumpertz","Juichirou","1986-09-18"
"Ghelli","Juichirou","1986-12-13"
"Georg","Shmuel","1986-11-30"
"Bach","Xiadong","1986-04-29"
"Butterworth","Guangming","1986-10-01"
"Setia","Irene","1986-08-10"
"Swiler","Shuichi","1986-06-08"
"Perez","Terresa","1986-09-12"
"Borovoy","Lidong","1986-05-30"
"Eickenmeyer","Teiji","1986-09-03"
"Kroha","Baocai","1986-10-27"
"Sridhar","Morrie","1986-03-04"
"Speckmann","Taegyun","1986-12-28"
"McFarlin","Stabislas","1986-07-19"
"Ghelli","Apostol","1986-04-07"
"Kuszyk","Khun","1986-06-30"
"Flanders","Conor","1986-02-21"
"Albarhamtoshy","Radhakrishnan","1986-05-07"
"Denna","Shigeu","1986-04-10"
"Frolund","Uta","1986-01-22"
"Kaminger","Zhiwei","1986-07-04"
"Krider","Sven","1986-09-25"
"Vakili","Yannik","1986-11-09"
"Zeilberger","Khatoun","1986-01-31"
"Erva","Fox","1986-05-06"
"Birrer","Huai","1986-03-28"
"Litzler","Kristine","1986-01-09"
"Farrel","Eirik","1986-09-19"
"Levergood","Wayne","1986-05-05"
"Cullers","Chrisa","1986-01-28"
"Perko","Manton","1986-06-18"
"Ratzlaff","Etsuo","1986-01-15"
"Erie","Odysseas","1986-02-06"
"Lambe","Ingmar","1986-10-21"
"Ashish","Marin","1986-07-11"
"Delaune","JiYoung","1986-09-04"
"Sidou","Sandeepan","1986-01-19"
"Leivant","Neven","1986-09-02"
"Hofting","Sarita","1986-07-03"
"Karunanithi","Kolar","1986-12-06"
"Impagliazzo","Shmuel","1986-02-19"
"Delaune","Bedrich","1986-04-06"
"Asser","Susanne","1986-08-05"
"Sommen","Syozo","1986-03-25"
"Ventosa","Ashish","1986-08-14"
"Pollacia","Ingmar","1986-08-21"
"Ramalingam","Shrikanth","1986-03-10"
"Mahnke","Rimli","1986-04-17"
"Chepyzhov","Adib","1986-11-10"
"Kavvadias","Florina","1986-12-14"
"Bottner","Kiyomitsu","1986-11-07"
"Thorelli","Berni","1986-08-05"
"Vilarrasa","Fumiya","1986-06-27"
"Speckmann","Remzi","1986-11-05"
"Middleton","Georgi","1986-11-24"
"Anandan","Zejun","1986-03-19"
"Lipner","Kamakshi","1986-08-17"
"Chaudhuri","Hyuncheol","1986-07-09"
"Kaiser","Chandrasekaran","1986-12-30"
"Bashian","Bedir","1986-10-05"
"Spieker","Takahira","1986-06-05"
"Sgarro","Krassimir","1986-08-04"
"Ghemri","Maya","1986-06-12"
"Dichev","Eishiro","1986-04-29"
"Kambil","Hausi","1986-07-03"
"Clouatre","Feipei","1986-03-05"
"Kuszyk","Susumu","1986-12-12"
"Kulisch","Stein","1986-06-11"
"Lundstrom","Gen","1986-05-29"
"Serre","Reinhard","1986-07-14"
"Fujisaki","Alain","1986-04-07"
"Dratva","Alain","1986-04-23"
"Spieker","Claudi","1986-04-23"
"Ebeling","Dulce","1986-03-18"
"Perri","Jayson","1986-03-23"
